iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,-454.4246,-610.0282,-598.6192,-677.3985,63.8002,1000.0,10000,-1.3209999799728394,70.69750213623047,1.0,10.334699630737305,0.0010999999940395355,0.9940999746322632,1.3833999633789062,0.1565
1,-540.8266,-636.1367,-645.7562,-790.4796,61.0818,1000.0,20000,-0.8845999836921692,93.18199920654297,1.0,10.631400108337402,0.000699999975040555,0.9839000105857849,1.3213000297546387,0.1725
2,-548.3615,-621.3743,-635.3457,-756.1685,64.945,1000.0,30000,-0.7444999814033508,70.87249755859375,1.0,9.972599983215332,0.0006000000284984708,0.9768000245094299,1.2781000137329102,0.1673
3,-472.0868,-573.2521,-573.1056,-667.8803,65.4988,1000.0,40000,-0.5414000153541565,52.16910171508789,1.0,8.447400093078613,0.0010999999940395355,0.9742000102996826,1.2619999647140503,0.1602
4,-551.1698,-597.5102,-605.3731,-699.2048,43.5395,1000.0,50000,-0.5889999866485596,58.96139907836914,1.0,8.664400100708008,0.0003000000142492354,0.9666000008583069,1.2145999670028687,0.1627
5,-387.6419,-563.4275,-561.3738,-650.5671,68.2923,1000.0,60000,-0.6133999824523926,43.02880096435547,1.0,7.490099906921387,0.0003000000142492354,0.9603000283241272,1.174399971961975,0.1233
6,-549.7665,-602.1785,-623.8714,-729.3772,54.6342,1000.0,70000,-0.6604999899864197,47.456298828125,1.0,8.19729995727539,0.0006000000284984708,0.9542999863624573,1.1371999979019165,0.14
7,-474.2545,-563.6853,-568.3806,-703.7248,77.7287,1000.0,80000,-0.32919999957084656,41.2775993347168,1.0,6.811299800872803,0.000699999975040555,0.9484999775886536,1.1008000373840332,0.1318
8,-409.7681,-539.1549,-554.6579,-707.0619,85.7434,1000.0,90000,-0.1882999986410141,33.2510986328125,1.0,6.288000106811523,0.000699999975040555,0.9426000118255615,1.0631999969482422,0.1526
9,-417.6307,-556.3232,-548.4545,-682.2256,81.1253,1000.0,100000,-0.14079999923706055,29.931499481201172,1.0,5.775599956512451,0.0006000000284984708,0.9380000233650208,1.0331000089645386,0.1299
10,-469.3877,-535.7627,-549.9949,-656.8027,57.8435,1000.0,110000,-0.1031000018119812,26.197599411010742,1.0,5.476200103759766,0.0005000000237487257,0.9275000095367432,0.9649999737739563,0.1384
11,-344.7346,-556.1284,-530.2843,-633.3549,87.2283,1000.0,120000,-0.03680000081658363,23.170299530029297,1.0,4.8317999839782715,0.0008999999845400453,0.9174000024795532,0.8992999792098999,0.1342
12,-343.0855,-509.3666,-498.8003,-584.1408,70.109,1000.0,130000,0.05299999937415123,18.171199798583984,1.0,3.9842000007629395,0.0005000000237487257,0.9075000286102295,0.8334000110626221,0.1326
13,-399.2867,-487.4189,-499.6811,-603.4032,55.5301,1000.0,140000,0.10580000281333923,16.00200080871582,1.0,3.7816998958587646,0.0012000000569969416,0.901199996471405,0.7922000288963318,0.1442
14,-351.2002,-480.6685,-469.9464,-563.2254,70.2784,1000.0,150000,0.16189999878406525,11.80270004272461,1.0,3.0473999977111816,0.0007999999797903001,0.891700029373169,0.7286999821662903,0.1362
15,-391.5538,-476.0478,-466.7002,-512.3153,41.9005,1000.0,160000,0.188400000333786,9.096099853515625,1.0,2.8457999229431152,0.0007999999797903001,0.8830000162124634,0.6696000099182129,0.1481
