iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,21.0943,222.9693,17.2774,4.5098,35.5853,41.8713,27.1782,2745,0.013500101864337921,-4.605170249938965,0.49869999289512634,0.5001999735832214,0.5022000074386597,-33.22119903564453
1,54.6042,245.0755,29.7742,2.5101,47.2977,46.8332,35.3267,6313,-0.007198745384812355,-4.703610420227051,0.49779999256134033,0.5001999735832214,0.5019999742507935,-33.21689987182617
2,62.5843,318.4511,22.2614,3.9684,42.7994,47.9001,34.6733,9815,0.005632251501083374,-4.563380241394043,0.49799999594688416,0.5002999901771545,0.5023000240325928,-33.21269989013672
3,91.5118,1012.5035,34.1158,6.9197,68.0634,111.4053,56.5545,15527,-0.005591660737991333,-4.539571762084961,0.49729999899864197,0.5001000165939331,0.5022000074386597,-33.22480010986328
4,93.9364,963.0794,64.3859,6.775,86.3464,114.69,66.7129,22265,0.0008131265640258789,-4.571413516998291,0.49779999256134033,0.5001999735832214,0.5026999711990356,-33.217201232910156
5,126.5943,351.0449,39.5884,8.7559,61.4956,63.9877,46.802,26992,-0.0015677139163017273,-4.478650093078613,0.4968999922275543,0.5001999735832214,0.5030999779701233,-33.2140998840332
6,149.9105,385.5866,44.7632,7.5638,85.4466,84.4929,58.5941,32910,0.0037185102701187134,-4.317718982696533,0.4968000054359436,0.5001999735832214,0.503600001335144,-33.22010040283203
7,178.1661,631.4522,49.1454,6.9718,95.9224,113.251,72.4851,40231,-0.0010010600090026855,-4.250533103942871,0.4961000084877014,0.5001999735832214,0.5041999816894531,-33.222198486328125
8,323.5197,1059.271,97.2331,8.924,177.1533,265.6047,150.6535,55447,-0.03489920496940613,-4.2634992599487305,0.49619999527931213,0.5001000165939331,0.5067999958992004,-33.23080062866211
9,589.1801,1032.6589,104.5619,9.2328,171.8653,218.6758,150.9109,70689,-0.02802097052335739,-4.461652755737305,0.49559998512268066,0.4997999966144562,0.5055999755859375,-33.26350021362305
10,1030.9203,1161.377,148.4672,8.6873,279.0889,318.2973,267.0891,97665,0.04792746901512146,-4.580983638763428,0.49459999799728394,0.49950000643730164,0.5060999989509583,-33.2932014465332
11,483.4341,1105.9605,148.3312,6.6801,255.3183,288.6785,239.7624,121881,0.003679320216178894,-4.653446674346924,0.49380001425743103,0.4991999864578247,0.5060999989509583,-33.31549835205078
12,1023.7753,1073.603,247.3732,13.3193,435.3602,389.7985,427.3267,165041,0.012804239988327026,-4.503101348876953,0.4934000074863434,0.499099999666214,0.5060999989509583,-33.330501556396484
13,1026.3893,1050.1951,213.203,7.5149,408.4709,396.244,393.2079,204755,-0.013193503022193909,-4.587575435638428,0.4927000105381012,0.49900001287460327,0.5059999823570251,-33.33810043334961
14,1026.9945,1053.6252,236.9259,15.372,444.0096,409.0859,441.6436,249361,-0.051895201206207275,-4.824008464813232,0.4927000105381012,0.49880000948905945,0.5059999823570251,-33.354801177978516
15,1041.6821,1050.5856,194.0834,9.7821,376.7069,380.241,358.2574,285545,0.03386073559522629,-5.03672981262207,0.492000013589859,0.4986000061035156,0.5058000087738037,-33.379398345947266
16,1032.3866,1047.1115,471.3235,10.9135,568.9823,399.9317,555.5941,341660,0.024100713431835175,-4.99710750579834,0.491100013256073,0.4984999895095825,0.5055999755859375,-33.390201568603516
