iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,36.9794,9.264,11.0028,2.5782,5.6346,19.5332,10001,0.758400022983551,0.7355999946594238,0.4558,-0.0026000000070780516,0.002300000051036477,0.9958000183105469,1.4063999652862549,0.0298
1,73.5266,10.2709,13.3896,2.6859,9.8883,22.6343,20028,0.8851000070571899,0.63919997215271,0.5073,-0.003700000001117587,0.002400000113993883,0.9940000176429749,1.4006999731063843,0.0363
2,84.8995,10.8811,14.3408,1.9514,10.5408,24.4,30032,0.927299976348877,0.5491999983787537,0.662,-0.0026000000070780516,0.0020000000949949026,0.9934999942779541,1.3990000486373901,0.0331
3,108.6363,13.1455,20.7229,3.3387,19.1219,30.5183,40042,0.9605000019073486,0.5501999855041504,0.7582,-0.0035000001080334187,0.0017999999690800905,0.9934999942779541,1.398800015449524,0.0382
4,114.2571,15.9684,24.7232,4.082,22.6454,35.0982,50045,0.9708999991416931,0.4934999942779541,0.8746,-0.0020000000949949026,0.0026000000070780516,0.9886000156402588,1.3838000297546387,0.0381
5,115.5198,19.0671,28.909,5.0025,23.8165,39.125,60061,0.9767000079154968,0.4401000142097473,0.9369,-0.0026000000070780516,0.0017000000225380063,0.9836000204086304,1.367799997329712,0.037
6,145.4637,27.1953,37.4965,4.5484,28.9578,45.0491,70152,0.9835000038146973,0.4377000033855438,0.959,-0.0015999999595806003,0.002099999925121665,0.9836999773979187,1.3681999444961548,0.0322
7,186.8337,32.5668,41.8548,3.9468,32.1474,48.0335,80191,0.9846000075340271,0.3885999917984009,0.9791,-0.00139999995008111,0.0027000000700354576,0.9789999723434448,1.3533999919891357,0.0395
8,147.7589,40.6948,44.5998,4.8131,32.1871,51.9381,90267,0.9850000143051147,0.3357999920845032,0.9869,-0.0017999999690800905,0.0010999999940395355,0.9818000197410583,1.3621000051498413,0.0408
9,186.3875,40.2014,45.3916,4.283,36.1378,50.085,100284,0.986299991607666,0.3077999949455261,0.9879,-0.00139999995008111,0.0008999999845400453,0.9794999957084656,1.3551000356674194,0.0419
10,170.9732,59.3414,57.263,1.73,40.2803,56.4944,110340,0.9872000217437744,0.33739998936653137,0.9937,-0.0007999999797903001,0.0003000000142492354,0.9718000292778015,1.3314000368118286,0.0426
11,209.0621,56.7934,57.9074,5.1956,42.3523,59.982,120357,0.9883999824523926,0.30320000648498535,0.9951,-0.0013000000035390258,0.0005000000237487257,0.9645000100135803,1.3085999488830566,0.0515
12,220.0648,56.2685,56.9873,4.7137,43.7937,59.1579,130473,0.9887999892234802,0.27549999952316284,0.9983,-0.0015999999595806003,0.0012000000569969416,0.9598000049591064,1.2936999797821045,0.0502
13,190.2481,62.252,62.5789,3.3407,41.4239,58.1156,140527,0.9891999959945679,0.31690001487731934,0.9987,-0.002099999925121665,0.0013000000035390258,0.9555000066757202,1.2799999713897705,0.0449
14,218.3926,73.3502,71.0134,4.1912,40.7106,60.9817,150528,0.9889000058174133,0.38530001044273376,0.9994,-0.0017999999690800905,0.001500000013038516,0.9505000114440918,1.2651000022888184,0.0477
