iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,224.9537,12.858,18.7175,3.2483,19.5223,20.75,20003,0.4828999936580658,91.1448974609375,1.0,-3.484600067138672,0.013100000098347664,0.9476000070571899,1.2573000192642212,0.7851
1,276.7104,23.1711,43.1093,4.375,46.6019,33.3467,40011,0.3935999870300293,161.4488983154297,1.0,-7.245200157165527,0.009399999864399433,0.9039000272750854,1.1151000261306763,0.9976
2,274.6368,77.7585,90.9991,4.5085,69.1908,52.7237,60046,0.17010000348091125,282.2130126953125,1.0,-11.70580005645752,0.004900000058114529,0.8794999718666077,1.0312999486923218,1.0
3,307.8198,139.4175,136.0256,10.9184,76.3412,69.8432,80091,0.04650000110268593,300.64898681640625,1.0,-13.112600326538086,0.003100000089034438,0.8579999804496765,0.9562000036239624,1.0
4,307.6914,204.4739,177.9902,8.8656,64.8961,84.616,100145,0.3086000084877014,448.4165954589844,1.0,-14.505200386047363,0.0032999999821186066,0.8353999853134155,0.8754000067710876,1.0
5,302.0309,217.0276,208.6142,17.5963,41.5639,95.4,120179,0.6621000170707703,373.1059875488281,1.0,-14.483200073242188,0.00279999990016222,0.8208000063896179,0.820900022983551,1.0
6,326.9761,223.4756,228.8839,58.84,37.0276,102.301,140230,0.8108000159263611,305.3955993652344,1.0,-13.797300338745117,0.0034000000450760126,0.7976999878883362,0.7368999719619751,0.9999
7,329.8323,249.9203,251.5688,162.2065,34.3382,109.4754,160264,0.8543999791145325,277.93499755859375,1.0,-13.571999549865723,0.00419999985024333,0.7831000089645386,0.6801999807357788,1.0
8,368.8152,292.1471,284.9289,133.5283,39.1741,120.9458,180341,0.8878999948501587,287.9237976074219,1.0,-14.060099601745605,0.00559999980032444,0.7537000179290771,0.5648000240325928,1.0
9,391.4831,309.2225,300.6776,55.5316,42.8494,125.8365,200349,0.9047999978065491,255.9741973876953,1.0,-13.077799797058105,0.0026000000070780516,0.7355999946594238,0.4916999936103821,1.0
10,389.1735,323.8859,318.2116,63.7291,35.8547,131.7237,220371,0.9381999969482422,249.62640380859375,1.0,-12.184200286865234,0.0038999998942017555,0.7139999866485596,0.40209999680519104,1.0
11,395.0666,328.3536,327.5032,20.63,35.7425,134.4094,240398,0.9613999724388123,220.5135040283203,1.0,-10.666099548339844,0.0034000000450760126,0.6955999732017517,0.3237999975681305,1.0
12,555.8506,342.0765,346.9458,286.8798,33.2944,140.2098,260448,0.9765999913215637,200.0167999267578,1.0,-10.030500411987305,0.003000000026077032,0.6765999794006348,0.24120000004768372,1.0
13,597.2446,351.5699,358.7431,23.9952,53.2577,142.4043,280527,0.9621000289916992,156.26939392089844,1.0,-9.47249984741211,0.0038999998942017555,0.6574000120162964,0.1534000039100647,1.0
14,573.0271,361.8192,373.8574,188.9206,58.6562,145.4275,300596,0.9442999958992004,128.94479370117188,1.0,-9.416899681091309,0.0032999999821186066,0.6401000022888184,0.07180000096559525,1.0
15,627.4062,382.4036,388.8838,249.5094,56.4872,148.6296,320661,0.9634000062942505,140.28759765625,1.0,-9.32859992980957,0.003800000064074993,0.6204000115394592,-0.02319999970495701,1.0
16,670.9362,420.3993,428.7901,238.0982,76.1819,160.04,340666,0.9384999871253967,181.61459350585938,1.0,-10.482099533081055,0.0026000000070780516,0.6047000288963318,-0.10100000351667404,1.0
17,688.7785,446.3622,463.3798,319.0451,75.4098,167.2833,360740,0.9606000185012817,203.4669952392578,1.0,-11.378399848937988,0.0035000001080334187,0.5838000178337097,-0.20659999549388885,1.0
18,723.7084,489.6312,497.7183,230.5706,93.4551,176.4649,380857,0.9564999938011169,211.4387969970703,1.0,-11.655400276184082,0.0035000001080334187,0.5648999810218811,-0.3068000078201294,1.0
19,850.1307,513.5985,519.4554,324.3281,91.9718,183.0636,400994,0.9757000207901001,204.8383026123047,1.0,-11.0600004196167,0.004100000020116568,0.5465999841690063,-0.40860000252723694,1.0
20,846.1645,591.3014,586.1313,377.6725,89.5832,199.2475,421118,0.9745000004768372,239.6844940185547,1.0,-12.608400344848633,0.002300000051036477,0.534600019454956,-0.478300005197525,1.0
21,846.1601,612.9518,615.5232,357.8502,89.7346,206.6495,441163,0.9749000072479248,237.91799926757812,1.0,-12.089300155639648,0.0032999999821186066,0.5192000269889832,-0.5699999928474426,1.0
22,850.7663,613.6051,612.5716,422.3189,83.4595,206.1122,461362,0.9868999719619751,193.1898956298828,1.0,-10.223999977111816,0.0044999998062849045,0.5016000270843506,-0.6736000180244446,1.0
23,897.4556,666.9951,671.0284,465.7141,78.3597,221.2527,481496,0.9873999953269958,199.8433074951172,1.0,-10.872699737548828,0.005799999926239252,0.48339998722076416,-0.7868000268936157,1.0
24,937.7893,699.9792,707.1854,477.9821,104.2121,233.7326,501597,0.9865999817848206,181.98629760742188,1.0,-10.187100410461426,0.005100000184029341,0.46810001134872437,-0.8853999972343445,1.0
25,1131.1562,795.0901,773.1938,250.1839,143.8121,254.0886,521670,0.965499997138977,186.3321990966797,1.0,-10.432499885559082,0.0038999998942017555,0.45509999990463257,-0.9696000218391418,1.0
26,1248.3535,790.8203,777.8175,487.0534,147.9396,254.9873,541814,0.9678000211715698,153.264404296875,1.0,-9.515399932861328,0.0026000000070780516,0.44440001249313354,-1.0400999784469604,1.0
27,1295.9228,867.4668,844.1552,531.6332,138.4289,273.3243,562040,0.9873999953269958,177.4951934814453,1.0,-10.19320011138916,0.004600000102072954,0.4293000102043152,-1.146399974822998,1.0
28,1251.6813,953.3993,949.2937,498.0436,170.1421,304.0909,582110,0.9815999865531921,184.60260009765625,1.0,-11.02750015258789,0.004699999932199717,0.41589999198913574,-1.243299961090088,1.0
29,1591.4694,1037.3702,1018.7059,214.8964,228.0261,326.3387,602343,0.9668999910354614,165.24130249023438,1.0,-10.792900085449219,0.00570000009611249,0.40619999170303345,-1.3143999576568604,1.0
30,1669.8016,1087.5079,1029.3767,388.1917,283.0276,330.4098,622498,0.9508000016212463,175.63209533691406,1.0,-9.818300247192383,0.0032999999821186066,0.3944000005722046,-1.402999997138977,1.0
31,1659.514,1031.2587,1044.0679,619.886,197.8824,331.4754,642718,0.9775999784469604,150.93649291992188,1.0,-9.607099533081055,0.0035000001080334187,0.383899986743927,-1.4835000038146973,1.0
32,1739.4991,1085.4656,1052.2588,473.4247,220.1153,333.5,662728,0.9761000275611877,133.0659942626953,1.0,-8.724599838256836,0.00559999980032444,0.37439998984336853,-1.5613000392913818,1.0
33,1609.1497,986.6243,1001.4455,628.8013,196.7492,316.2656,682969,0.991100013256073,96.90489959716797,1.0,-7.609499931335449,0.0044999998062849045,0.3643999993801117,-1.646299958229065,1.0
34,1931.165,1041.3486,1052.2145,685.692,212.4112,328.5574,703011,0.9897000193595886,93.66230010986328,1.0,-7.9232001304626465,0.004699999932199717,0.35249999165534973,-1.7470999956130981,1.0
35,2052.2675,1104.5792,1135.8996,688.4433,242.1546,351.5614,723050,0.9891999959945679,111.86080169677734,1.0,-8.553299903869629,0.004100000020116568,0.33980000019073486,-1.8566999435424805,1.0
36,2221.5867,1133.8948,1192.6825,748.4504,252.6758,366.8545,743227,0.9909999966621399,118.47350311279297,1.0,-8.450400352478027,0.004399999976158142,0.32829999923706055,-1.9672000408172607,1.0
37,1983.7659,1106.2342,1171.2522,549.8683,309.8115,361.6964,763482,0.9905999898910522,87.39029693603516,1.0,-7.172599792480469,0.0038999998942017555,0.319599986076355,-2.047300100326538,1.0
38,3250.1914,1388.2389,1502.6501,862.3849,447.946,455.0,783502,0.989799976348877,155.4492950439453,1.0,-10.185600280761719,0.0044999998062849045,0.30799999833106995,-2.1577000617980957,1.0
39,3336.4081,1570.1273,1825.8675,790.0211,690.9462,554.6486,804024,0.9527000188827515,168.74240112304688,1.0,-10.30150032043457,0.0035000001080334187,0.30160000920295715,-2.2304000854492188,1.0
40,3308.3503,1860.4828,1961.8702,994.3247,680.5829,593.7941,824213,0.9430999755859375,148.30389404296875,1.0,-10.115599632263184,0.005400000140070915,0.2937000095844269,-2.3159000873565674,1.0
41,3302.7407,1520.4954,1776.3773,933.0689,672.7671,536.5263,844601,0.9696999788284302,124.74849700927734,1.0,-8.60770034790039,0.0052999998442828655,0.28859999775886536,-2.3761000633239746,1.0
42,3374.2867,1952.2043,2293.8339,1116.3184,739.0566,697.0345,864815,0.8942000269889832,150.42990112304688,1.0,-9.161199569702148,0.0052999998442828655,0.2822999954223633,-2.4428999423980713,1.0
