iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
0,86.0796,10.8372,13.5272,4.1535,9.3127,17.734,20004,0.5080000162124634,40.76390075683594,1.0,-1.8516000509262085,0.013399999588727951,0.9491000175476074,1.2623000144958496,0.1329
1,194.6714,17.3012,26.424,4.2747,25.8565,25.9494,40011,0.352400004863739,59.51850128173828,1.0,-4.200300216674805,0.012199999764561653,0.9007999897003174,1.1053999662399292,0.2941
2,272.0178,44.4328,58.4286,4.8176,47.4551,41.4029,60050,0.0674000009894371,135.81399536132812,1.0,-9.928999900817871,0.006200000178068876,0.8701000213623047,1.000599980354309,0.5364
3,232.4901,75.5735,85.9819,8.9842,49.6754,52.8549,80082,-0.21619999408721924,154.57479858398438,1.0,-11.973099708557129,0.0031999999191612005,0.8544999957084656,0.9462000131607056,0.6413
4,241.9589,98.5758,107.0715,9.0596,50.3866,60.9878,100086,-0.27889999747276306,161.7165069580078,1.0,-12.960700035095215,0.0027000000700354576,0.8371000289916992,0.8844000101089478,0.7204
5,260.7535,120.7548,129.5889,13.3467,58.6559,70.682,120089,-0.28540000319480896,170.3437042236328,1.0,-13.941699981689453,0.0017000000225380063,0.8270999789237976,0.8482999801635742,0.8002
6,256.0272,153.1346,150.1101,26.6684,57.4092,79.7251,140100,-0.20829999446868896,191.24049377441406,1.0,-14.471599578857422,0.002300000051036477,0.8119999766349792,0.7925000190734863,0.8724
7,245.435,183.1041,163.6502,22.5671,54.19,85.3234,160151,0.05959999933838844,208.50120544433594,1.0,-14.31470012664795,0.0020000000949949026,0.8019999861717224,0.7542999982833862,0.8517
8,246.1804,204.4041,181.5756,52.4027,49.9192,92.838,180204,0.2980000078678131,194.52139282226562,1.0,-14.56760025024414,0.0024999999441206455,0.7870000004768372,0.6970999836921692,0.8531
9,265.9463,213.6824,203.0388,63.7266,36.3005,101.2172,200245,0.5130000114440918,193.74440002441406,1.0,-15.250200271606445,0.0015999999595806003,0.7789999842643738,0.6657999753952026,0.8688
10,277.9707,217.4244,211.5062,62.5385,34.7119,103.4536,220315,0.6234999895095825,181.54490661621094,1.0,-14.87279987335205,0.003000000026077032,0.7649000287055969,0.6103000044822693,0.8453
11,311.7348,221.3771,210.5472,71.3134,41.1133,100.015,240318,0.6570000052452087,169.764404296875,1.0,-13.851499557495117,0.0027000000700354576,0.7511000037193298,0.5562999844551086,0.854
12,338.2278,230.1522,222.7091,73.9406,42.2309,104.6823,260417,0.7322999835014343,159.20530700683594,1.0,-13.68280029296875,0.0032999999821186066,0.7348999977111816,0.491100013256073,0.855
13,304.3182,239.6583,241.9833,112.9593,29.9721,112.8764,280509,0.7888000011444092,160.02259826660156,1.0,-13.937100410461426,0.0038999998942017555,0.7177000045776367,0.4205000102519989,0.8283
14,339.1143,257.8717,253.6447,79.982,41.377,112.6854,300567,0.7804999947547913,155.03329467773438,1.0,-14.487000465393066,0.0035000001080334187,0.6970000267028809,0.33340001106262207,0.8999
15,355.3315,280.538,271.4263,104.8943,45.5497,116.6337,320628,0.7732999920845032,166.9174041748047,1.0,-15.110699653625488,0.0027000000700354576,0.682200014591217,0.2694999873638153,0.9385
16,344.6683,301.1686,292.5651,93.5264,41.8185,121.7515,340717,0.7896999716758728,193.7563018798828,1.0,-15.875499725341797,0.0027000000700354576,0.6704999804496765,0.218299999833107,0.9461
17,354.8228,311.1009,306.6395,122.8674,32.026,125.15,360741,0.824999988079071,203.3079071044922,1.0,-15.828300476074219,0.0031999999191612005,0.6513000130653381,0.13089999556541443,0.944
18,376.693,326.7794,323.2657,100.0557,28.8543,129.6452,380836,0.8500000238418579,208.00770568847656,1.0,-15.8548002243042,0.00419999985024333,0.6291000247001648,0.027699999511241913,0.9584
