iteration,max return,median return,avg return,min return,std return,avg memory reward,avg rollout length,num total samples,Q1 loss,Q2 loss,policy loss,avg grad norm policy,avg expl strat std,ent_coeff
0,18.3566,1.0101,2.6036,0.1532,3.3994,0.2239,13.83,36046,0.13028402626514435,0.1311616748571396,-0.7065798044204712,0.12168066948652267,1.187829852104187,0.18181537091732025
1,59.3206,13.9457,18.7915,2.1781,15.3412,0.2131,200.87,45080,0.38307228684425354,0.38031065464019775,-1.9199436902999878,0.15976542234420776,1.1692664623260498,0.11113744229078293
2,138.3405,18.7768,27.3704,2.196,24.7456,0.2049,256.04,54086,0.5206212401390076,0.5163202881813049,-2.4843521118164062,0.24021165072917938,1.1780203580856323,0.0681966245174408
3,139.5571,33.5766,44.2901,22.5703,27.6322,0.2048,237.39,63112,0.6099914908409119,0.6108489036560059,-3.0790648460388184,0.33171746134757996,1.1963435411453247,0.04203132539987564
4,143.5195,52.3232,59.4503,33.272,20.7422,0.209,260.9,72132,0.7206279039382935,0.7221106886863708,-3.7519586086273193,0.36598774790763855,1.2059789896011353,0.025902749970555305
5,150.9369,50.8325,60.4915,37.0988,24.9709,0.212,261.36,81139,0.8306692242622375,0.8283559679985046,-4.407993793487549,0.4231676757335663,1.2231218814849854,0.01600353978574276
6,84.5479,63.9032,58.5695,29.5644,13.1282,0.2174,150.74,90178,0.943879246711731,0.9342136979103088,-5.110806465148926,0.4596043527126312,1.2235636711120605,0.009844132699072361
7,90.8382,71.7618,65.2997,32.6013,16.3466,0.2251,161.95,99188,1.0733519792556763,1.0584094524383545,-5.8535871505737305,0.5138307809829712,1.2133547067642212,0.006030437536537647
8,75.1654,60.7469,56.4166,31.5822,11.6269,0.232,133.18,108196,1.1226226091384888,1.1011641025543213,-6.510598659515381,0.5484802722930908,1.2006843090057373,0.0036770878359675407
9,77.1736,61.3493,56.4576,32.0298,12.6964,0.2397,129.8,117249,1.1674096584320068,1.1296550035476685,-7.080433368682861,0.5838899612426758,1.192663550376892,0.002239521825686097
10,76.3203,53.4994,50.946,30.7293,10.9618,0.2471,117.9,126263,1.1549885272979736,1.1110949516296387,-7.560479640960693,0.6080130338668823,1.1851459741592407,0.0013626255095005035
11,79.7143,55.7608,52.1555,31.7521,12.7935,0.2545,120.97,135340,1.1814594268798828,1.139162540435791,-8.08382511138916,0.6424508094787598,1.180806279182434,0.0008310848497785628
12,94.1222,62.9606,59.3849,35.6542,12.5943,0.2611,126.78,144352,1.2139145135879517,1.1775295734405518,-8.574302673339844,0.6891663074493408,1.1729108095169067,0.0005066334852017462
13,81.3173,54.9066,53.9762,32.9767,9.8497,0.2687,115.49,153383,1.2667077779769897,1.2381187677383423,-9.120950698852539,0.7552908062934875,1.1672981977462769,0.00030977503047324717
